"","P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"19387","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",77,"Media","Sí","8","7","3","8","Está progresando","Un poco mejor","Poco","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"364","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",46,"Media baja","Sí","7","7","7","6","Está en retroceso","Un poco peor","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"18382","La política es tan complicada que no se entiende","Soltero","Femenino",36,"Media","No","7","8","7","5","Está estancado","Igual","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"6278","La política es tan complicada que no se entiende","Soltero","Femenino",23,"Media","No","5","5","3","5","Está estancado","Igual","Poco","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"14759","La política no es tan complicada y se entiende","Soltero","Masculino",20,"Media alta","Sí","5","4","NS/NR","5","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"16568","La política es tan complicada que no se entiende","Soltero","Femenino",18,"Media baja","No","9","9","9","5","Está progresando","Un poco mejor","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"3361","La política no es tan complicada y se entiende","Soltero","Femenino",32,"Media","Sí","5","5","10 Totalmente democrático","NS/NR","Está estancado","Un poco mejor","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"1454","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",44,"Media alta","No","10 Totalmente democrático","4","9","5","Está estancado","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"18897","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",36,"Media baja","No","10 Totalmente democrático","8","9","3","Está progresando","Un poco mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"5838","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",63,"Media baja","No","8","8","8","NS/NR","Está estancado","Un poco mejor","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"16252","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",65,"Baja","No","4","5","NS/NR","3","Está estancado","Igual","NS/NR","Mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"1304","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",28,"Media","No","5","3","5","6","Está en retroceso","Igual","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"4047","La política es tan complicada que no se entiende","Soltero","Femenino",22,"Media","No","4","9","7","2","Está estancado","Igual","Mucho","Mala","Injusta","NS/NR","Colombia"
"7531","La política no es tan complicada y se entiende","Soltero","Femenino",37,"Media baja","No","8","8","8","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"3741","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",18,"Media","No","6","6","6","5","Está progresando","Un poco mejor","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"6325","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",85,"Media baja","Sí","6","7","6","5","Está estancado","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"5813","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",50,"Baja","No","6","7","5","NS/NR","Está progresando","Igual","Bastante","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"6802","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",38,"Media baja","Sí","6","NS/NR","NS/NR","1","Está en retroceso","Un poco peor","Mucho","Mala","Muy injusta","NS/NR","Chile"
"6226","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",60,"Media","Sí","6","6","6","NS/NR","Está estancado","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"3198","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",37,"Baja","Sí","5","10 Totalmente democrático","7","4","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"14993","La política no es tan complicada y se entiende","Soltero","Femenino",40,"Media baja","Sí","7","8","NS/NR","NS/NR","Está en retroceso","Un poco mejor","Bastante","Muy buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"2862","La política no es tan complicada y se entiende","Soltero","Masculino",31,"Media","Sí","7","8","6","4","Está progresando","Igual","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"17949","La política es tan complicada que no se entiende","Soltero","Masculino",19,"Baja","Sí","10 Totalmente democrático","NS/NR","NS/NR","3","Está estancado","Un poco peor","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"17891","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",51,"Media","Sí","8","8","6","7","Está progresando","Igual","NS/NR","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"8027","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",64,"Media","No","6","10 Totalmente democrático","6","NS/NR","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"7470","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",25,"Media","Sí","6","7","7","5","Está progresando","Un poco mejor","Poco","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"555","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",35,"Media","Sí","8","8","8","NS/NR","Está en retroceso","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"6066","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",43,"Media baja","Sí","10 Totalmente democrático","8","10 Totalmente democrático","7","NS/NR","Mucho peor","Bastante","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"14852","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",40,"Media","No","6","7","6","NS/NR","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"12","La política no es tan complicada y se entiende","Soltero","Masculino",19,"Media","Sí","5","7","6","5","Está en retroceso","Un poco peor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"18560","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",27,"Media","Sí","5","NS/NR","6","4","NS/NR","Un poco mejor","Mucho","Regular","NS/NR","NS/NR","Uruguay"
"1182","La política no es tan complicada y se entiende","Soltero","Masculino",42,"Media baja","No","4","3","6","3","Está estancado","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"1120","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",48,"Media","Sí","8","7","7","4","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"16514","La política es tan complicada que no se entiende","Soltero","Masculino",60,"Baja","No","5","7","6","7","Está progresando","Un poco peor","Poco","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"352","La política no es tan complicada y se entiende","Soltero","Masculino",38,"Media","No","5","6","7","6","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"4083","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",30,"Alta","Sí","8","8","NS/NR","8","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"16617","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",80,"Media baja","No","6","7","6","NS/NR","Está estancado","Un poco mejor","Poco","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"1331","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",50,"Media","No","5","6","6","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"4184","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",59,"Media alta","Sí","8","9","9","NS/NR","Está estancado","Igual","Mucho","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3943","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",53,"Media baja","Sí","8","9","8","8","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"15521","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",23,"Media baja","No","7","8","7","5","Está progresando","Un poco peor","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"4221","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",61,"Media baja","No","6","7","7","8","Está estancado","Un poco peor","Mucho","Muy mala","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"5825","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",44,"Media baja","No","5","6","5","5","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"3685","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",44,"Media","No","5","10 Totalmente democrático","6","NS/NR","Está progresando","Mucho peor","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"19667","La política no es tan complicada y se entiende","Soltero","Femenino",26,"Media","Sí","5","8","9","10 Derecha","Está estancado","Igual","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"15437","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",24,"Media baja","No","3","5","5","5","Está estancado","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"18774","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",25,"Media","Sí","8","8","NS/NR","5","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"19368","La política no es tan complicada y se entiende","Soltero","Masculino",21,"Media","Sí","5","6","7","5","Está estancado","Un poco peor","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Venezuela"
"16085","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",39,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","NS/NR","5","Está estancado","Un poco peor","NS/NR","Regular","Injusta","NS/NR","Peru"
"18216","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",39,"Media baja","Sí","8","6","8","4","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"16760","La política es tan complicada que no se entiende","Soltero","Femenino",18,"Baja","No","4","7","NS/NR","5","NS/NR","Un poco peor","NS/NR","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"18860","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",62,"Media baja","No","9","10 Totalmente democrático","6","2","Está en retroceso","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"18128","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",72,"Media","Sí","10 Totalmente democrático","9","10 Totalmente democrático","5","Está progresando","Un poco mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"4417","La política no es tan complicada y se entiende","Soltero","Femenino",28,"Media","Sí","8","10 Totalmente democrático","9","6","Está estancado","Un poco peor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"18607","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",29,"Media","Sí","8","8","6","6","Está en retroceso","Un poco peor","Poco","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"16772","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",67,"Media","Sí","3","NS/NR","NS/NR","10 Derecha","Está estancado","Mucho peor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"2099","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",50,"Baja","No","4","2","5","4","Está estancado","Mucho mejor","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"1936","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",30,"Media","No","4","8","8","5","Está en retroceso","Mucho peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"19470","La política no es tan complicada y se entiende","Soltero","Masculino",56,"Media","Sí","4","10 Totalmente democrático","10 Totalmente democrático","10 Derecha","Está estancado","Un poco peor","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"6270","La política es tan complicada que no se entiende","Soltero","Femenino",55,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","5","Está estancado","Igual","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"919","La política es tan complicada que no se entiende","Soltero","Masculino",23,"Media","Sí","9","10 Totalmente democrático","9","5","Está estancado","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"19957","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",52,"Media","No","5","9","8","5","Está estancado","Mucho peor","Mucho","Muy mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"189","La política es tan complicada que no se entiende","Soltero","Masculino",19,"Media","No","5","7","7","NS/NR","Está estancado","Igual","Bastante","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"6888","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",39,"Baja","No","5","5","5","5","Está progresando","Igual","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"6059","La política es tan complicada que no se entiende","Soltero","Masculino",19,"Media alta","Sí","8","7","4","NS/NR","Está estancado","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"4518","La política no es tan complicada y se entiende","Soltero","Masculino",20,"Media baja","No","7","8","8","4","Está en retroceso","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"15990","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",55,"Media baja","Sí","9","8","9","5","Está progresando","Igual","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Peru"
"3330","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",58,"Baja","No","5","5","5","NS/NR","Está progresando","Igual","Mucho","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"15014","La política no es tan complicada y se entiende","Soltero","Femenino",19,"Media","Sí","6","9","7","7","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"20155","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",52,"Alta","Sí","10 Totalmente democrático","6","8","1","Está estancado","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"15811","La política es tan complicada que no se entiende","Soltero","Femenino",25,"NS/NR","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","10 Derecha","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"19910","La política no es tan complicada y se entiende","Soltero","Femenino",18,"Media","Sí","6","10 Totalmente democrático","10 Totalmente democrático","6","Está estancado","Igual","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"7461","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",26,"Media baja","No","4","7","2","5","Está en retroceso","Un poco peor","Bastante","Regular","Justa","NS/NR","Ecuador"
"15053","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",21,"Media baja","No","9","10 Totalmente democrático","9","8","Está estancado","Un poco mejor","NS/NR","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"3277","La política no es tan complicada y se entiende","Soltero","Masculino",16,"Baja","No","7","7","9","00 Izquierda","NS/NR","Igual","Bastante","Muy buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"4706","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",41,"Media baja","Sí","7","7","7","5","Está progresando","Igual","Bastante","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"7643","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",27,"Media","Sí","9","8","8","8","Está estancado","Igual","Poco","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"19888","La política no es tan complicada y se entiende","Soltero","Masculino",37,"Alta","Sí","5","10 Totalmente democrático","01 No es democrático","6","Está en retroceso","Mucho peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"19701","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",21,"Media","Sí","6","7","8","5","Está estancado","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"2593","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",30,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","NS/NR","5","Está estancado","Mucho peor","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"4661","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",73,"Media","Sí","5","3","7","5","Está progresando","Mucho peor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"18570","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",47,"Media baja","No","7","9","7","1","Está progresando","Un poco mejor","NS/NR","Regular","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"15426","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",49,"Media baja","Sí","2","NS/NR","NS/NR","NS/NR","Está estancado","Igual","Mucho","Regular","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"4002","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",68,"Media baja","No","9","NS/NR","NS/NR","2","Está estancado","Mucho mejor","Mucho","Mala","Injusta","NS/NR","Colombia"
"15410","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",29,"Media baja","No","10 Totalmente democrático","5","2","5","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"1812","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",40,"Media","No","5","2","4","5","Está estancado","Un poco peor","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"18792","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",60,"Media baja","Sí","10 Totalmente democrático","9","8","5","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"18768","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",81,"Baja","Sí","7","7","NS/NR","6","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"1625","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",35,"Baja","No","8","8","NS/NR","NS/NR","Está estancado","Igual","Poco","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Bolivia"
"432","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",49,"Media alta","Sí","10 Totalmente democrático","5","8","5","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"4219","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",35,"Baja","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","5","Está en retroceso","Mucho peor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"4496","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",32,"Media baja","Sí","4","6","4","10 Derecha","Está progresando","Igual","Poco","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"14488","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",38,"Media baja","No","6","7","9","NS/NR","Está progresando","Igual","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"7014","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",58,"Media","Sí","3","7","6","8","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"4013","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",42,"Baja","No","9","10 Totalmente democrático","4","2","Está en retroceso","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"3911","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",47,"Baja","No","8","8","7","5","Está progresando","Mucho peor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"7805","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",62,"Media","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","7","Está progresando","Mucho mejor","Bastante","Muy buena","Muy justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"599","La política no es tan complicada y se entiende","Soltero","Masculino",43,"Media","No","5","5","5","NS/NR","Está en retroceso","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"4742","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",56,"Baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","10 Derecha","Está estancado","Mucho peor","Bastante","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"3104","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",35,"Baja","No","5","01 No es democrático","5","7","Está en retroceso","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"1990","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",51,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","8","NS/NR","Está estancado","Mucho peor","NS/NR","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"702","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",67,"Media baja","No","6","6","8","5","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"620","La política es tan complicada que no se entiende","Soltero","Femenino",18,"Baja","Sí","9","8","9","NS/NR","Está progresando","Un poco mejor","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"19769","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",40,"Media","No","5","4","4","5","Está estancado","Igual","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"16657","La política es tan complicada que no se entiende","Soltero","Femenino",22,"Media","Sí","10 Totalmente democrático","5","5","5","Está progresando","Un poco mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Peru"
"375","La política es tan complicada que no se entiende","Soltero","Masculino",42,"Media baja","Sí","4","7","6","8","Está en retroceso","Un poco peor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"7442","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",23,"Media baja","No","4","8","7","NS/NR","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
