"","P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"29","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",48,"Media baja","No","8","5","7","2","Está progresando","Un poco mejor","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"30","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",33,"Media baja","Sí","8","8","8","NS/NR","Está progresando","Un poco mejor","Mucho","Buena","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"31","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",72,"Media baja","No","8","NS/NR","NS/NR","5","Está progresando","Un poco mejor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"32","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",51,"Media","No","2","3","3","NS/NR","NS/NR","Un poco peor","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"33","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",28,"Media baja","Sí","7","5","5","4","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"34","La política no es tan complicada y se entiende","Soltero","Femenino",29,"Media","Sí","5","6","5","4","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"35","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",42,"Media","Sí","7","5","5","5","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"36","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",43,"Media baja","Sí","7","5","5","8","Está progresando","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"37","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",24,"Media","Sí","6","7","5","5","Está estancado","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"38","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",37,"Media","Sí","6","7","6","5","Está estancado","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"39","La política es tan complicada que no se entiende","Soltero","Masculino",21,"Media","Sí","8","6","5","3","Está progresando","Igual","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"40","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",46,"Media","Sí","5","7","5","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"41","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",44,"Media","Sí","7","6","4","5","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"42","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",41,"Media","Sí","8","6","6","3","Está progresando","Mucho mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"43","La política no es tan complicada y se entiende","Soltero","Masculino",45,"Media baja","Sí","8","6","6","NS/NR","Está progresando","Un poco mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"44","La política no es tan complicada y se entiende","Soltero","Femenino",39,"Media","Sí","8","8","6","5","Está progresando","Un poco mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"45","La política es tan complicada que no se entiende","Soltero","Femenino",33,"Media baja","Sí","10 Totalmente democrático","5","8","00 Izquierda","Está progresando","Igual","Poco","Buena","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"46","La política es tan complicada que no se entiende","Soltero","Femenino",27,"Media baja","Sí","7","NS/NR","NS/NR","NS/NR","Está progresando","Igual","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"47","La política es tan complicada que no se entiende","Soltero","Masculino",20,"Media baja","No","8","6","6","NS/NR","Está progresando","Un poco mejor","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"48","La política es tan complicada que no se entiende","Soltero","Masculino",35,"Media","Sí","8","6","6","5","Está progresando","Un poco mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"49","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",52,"Media","No","7","5","5","NS/NR","Está estancado","Un poco mejor","Bastante","Regular","NS/NR","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"50","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",65,"Media","Sí","8","NS/NR","7","5","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"51","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",39,"Media","Sí","10 Totalmente democrático","NS/NR","NS/NR","3","Está progresando","Un poco mejor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"52","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",32,"Media","No","10 Totalmente democrático","NS/NR","5","NS/NR","Está en retroceso","Igual","Mucho","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"53","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",36,"NS/NR","No","9","NS/NR","NS/NR","NS/NR","Está estancado","Un poco mejor","Poco","Mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"54","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",61,"Media baja","Sí","9","5","7","8","Está progresando","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"55","La política no es tan complicada y se entiende","Soltero","Masculino",19,"Media baja","No","5","4","5","4","Está estancado","Igual","Mucho","Regular","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"56","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",31,"Media baja","No","6","4","6","5","Está estancado","Igual","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"57","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",43,"Media baja","No","3","5","5","5","Está progresando","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"58","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",45,"Media","Sí","6","6","5","5","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"59","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",36,"Baja","No","6","7","6","8","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"60","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",26,"Media baja","No","7","6","8","5","Está estancado","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"61","La política es tan complicada que no se entiende","Soltero","Femenino",61,"Baja","No","5","NS/NR","NS/NR","NS/NR","Está estancado","Un poco peor","Bastante","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"62","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",54,"Media baja","No","3","5","NS/NR","NS/NR","Está estancado","Un poco mejor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"63","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",54,"Baja","No","7","6","6","4","Está estancado","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"64","La política no es tan complicada y se entiende","Soltero","Masculino",25,"Media baja","Sí","8","4","3","5","Está estancado","Mucho mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"65","La política es tan complicada que no se entiende","Soltero","Masculino",42,"Media baja","No","7","NS/NR","NS/NR","NS/NR","Está progresando","Un poco peor","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"66","La política no es tan complicada y se entiende","Soltero","Masculino",18,"Media alta","Sí","4","5","7","NS/NR","Está progresando","Un poco mejor","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"67","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",58,"Media","Sí","5","7","NS/NR","NS/NR","Está en retroceso","Mucho peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"68","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",62,"Baja","No","9","5","NS/NR","NS/NR","Está estancado","Un poco peor","Bastante","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"69","La política no es tan complicada y se entiende","Soltero","Femenino",22,"Media","Sí","5","6","7","5","Está en retroceso","Igual","Mucho","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"70","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",21,"Media","Sí","8","NS/NR","NS/NR","NS/NR","Está estancado","Un poco mejor","Poco","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"71","La política es tan complicada que no se entiende","Soltero","Masculino",19,"Media","Sí","7","7","10 Totalmente democrático","NS/NR","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"72","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",34,"Media","Sí","8","5","8","NS/NR","Está progresando","Un poco mejor","Mucho","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"73","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",58,"Media","Sí","5","7","4","NS/NR","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"74","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",25,"Media alta","Sí","5","8","7","NS/NR","Está estancado","Un poco peor","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"75","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",52,"Media","Sí","7","3","5","NS/NR","Está progresando","Un poco mejor","NS/NR","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"76","La política es tan complicada que no se entiende","Soltero","Femenino",79,"Media baja","No","7","5","7","10 Derecha","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"77","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",59,"Media baja","Sí","7","5","7","8","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"78","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",24,"Media baja","No","4","5","4","NS/NR","Está estancado","Un poco peor","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"79","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",58,"Media baja","Sí","5","8","6","7","Está en retroceso","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"80","La política no es tan complicada y se entiende","Soltero","Femenino",18,"Media","Sí","5","7","7","4","Está estancado","Un poco mejor","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"81","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",71,"Media baja","No","8","4","7","7","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"82","La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media","No","6","NS/NR","7","5","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"83","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",60,"Media baja","Sí","5","8","5","5","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"84","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",40,"Media baja","Sí","6","5","6","5","Está estancado","Un poco peor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"85","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",26,"Media baja","No","6","7","5","5","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"86","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",53,"Media","No","5","7","6","8","Está estancado","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"87","La política es tan complicada que no se entiende","Soltero","Masculino",32,"Media","No","5","4","2","2","Está estancado","Un poco peor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"88","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",32,"Media baja","Sí","6","6","7","7","Está estancado","Un poco peor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"89","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",71,"Media","Sí","8","4","5","NS/NR","Está progresando","Un poco mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"90","La política no es tan complicada y se entiende","Soltero","Femenino",23,"Media","Sí","7","5","5","4","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"91","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",52,"Media","Sí","8","4","5","00 Izquierda","Está progresando","Mucho mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"92","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",76,"Media baja","Sí","5","6","5","5","Está en retroceso","Un poco peor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"93","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",58,"Media baja","No","7","5","3","5","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"94","La política es tan complicada que no se entiende","NS/NR","Femenino",60,"Media","Sí","7","5","5","5","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"95","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",78,"Media baja","No","5","6","5","8","Está en retroceso","Un poco peor","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"96","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",58,"Media","Sí","8","5","5","2","Está progresando","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"97","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",62,"Media","Sí","8","6","5","4","Está progresando","Igual","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"98","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",60,"Media baja","Sí","4","7","5","5","Está en retroceso","Un poco peor","Bastante","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"99","La política no es tan complicada y se entiende","Soltero","Femenino",25,"Media","Sí","8","3","3","3","Está progresando","Un poco mejor","Poco","Muy buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"100","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",77,"Media","No","8","6","7","NS/NR","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"101","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",60,"Media baja","No","8","5","5","5","Está estancado","Un poco mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"102","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",30,"Media","Sí","6","4","5","5","Está progresando","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"103","La política no es tan complicada y se entiende","Soltero","Masculino",32,"Alta","Sí","6","7","5","5","Está estancado","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"104","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",62,"Media baja","Sí","8","4","5","5","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"105","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",40,"Media baja","Sí","6","5","5","5","Está estancado","Un poco peor","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"106","La política no es tan complicada y se entiende","NS/NR","Femenino",44,"Media","Sí","6","NS/NR","7","6","Está progresando","Un poco peor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"107","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",31,"Media baja","Sí","6","7","6","6","Está progresando","Un poco mejor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"108","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",77,"Media baja","No","7","7","6","5","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"109","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",37,"Media","Sí","9","7","5","3","Está en retroceso","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"110","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",55,"Media","Sí","6","7","6","6","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"111","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",60,"Media","Sí","7","6","8","5","Está progresando","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"112","La política es tan complicada que no se entiende","Soltero","Femenino",18,"Baja","No","6","6","NS/NR","5","Está en retroceso","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"114","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",34,"Media","No","6","5","5","NS/NR","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"115","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",46,"Media baja","Sí","5","7","7","NS/NR","Está progresando","Un poco mejor","Nada","Buena","Injusta","NS/NR","Argentina"
"116","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",54,"Baja","No","4","5","6","NS/NR","Está progresando","Un poco mejor","Nada","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"117","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",78,"Baja","No","2","5","6","7","Está progresando","Un poco mejor","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"118","La política es tan complicada que no se entiende","Soltero","Masculino",19,"Baja","No","7","8","7","NS/NR","Está progresando","Un poco peor","Poco","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"119","La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media baja","Sí","8","5","8","4","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"120","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",60,"Media alta","Sí","8","8","8","NS/NR","Está progresando","Un poco mejor","Bastante","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"121","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",25,"Media baja","No","5","7","6","4","Está estancado","Un poco mejor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"122","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",41,"Media baja","No","8","6","5","5","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"123","La política no es tan complicada y se entiende","Soltero","Femenino",27,"Media","No","7","9","9","4","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"124","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",56,"Media","Sí","7","NS/NR","5","2","Está progresando","Mucho mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"125","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",68,"Baja","Sí","6","5","5","6","Está en retroceso","Un poco peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"126","La política no es tan complicada y se entiende","Soltero","Masculino",29,"Baja","No","6","7","7","3","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"127","La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media","Sí","6","9","NS/NR","NS/NR","Está estancado","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"128","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",65,"Media baja","No","7","7","8","3","Está estancado","Igual","Mucho","Mala","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"129","La política es tan complicada que no se entiende","Soltero","Femenino",24,"Media baja","Sí","8","6","5","5","Está estancado","Un poco peor","Bastante","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"130","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",57,"Media alta","Sí","3","5","01 No es democrático","6","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"131","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",62,"Media baja","No","10 Totalmente democrático","3","3","3","Está progresando","Mucho mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"132","La política es tan complicada que no se entiende","Soltero","Femenino",20,"Baja","Sí","3","5","5","3","Está estancado","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"133","La política no es tan complicada y se entiende","NS/NR","Masculino",40,"Media","Sí","10 Totalmente democrático","6","6","4","Está progresando","Un poco mejor","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"134","La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media","Sí","7","6","6","7","NS/NR","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"135","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",41,"Baja","No","6","7","4","5","Está estancado","NS/NR","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
