@relation R_data_frame

@attribute S1NICC7 {Bastante,Mucho,NS/NR,'Poco - Nada'}
@attribute S15 {'Casado/ Conviviente',NS/NR,Separado/Divorciado/Viudo,Soltero}
@attribute S16 {Femenino,Masculino}
@attribute S17 numeric
@attribute S14 {Alta,Baja,Media,'Media alta','Media baja',NS/NR}
@attribute S28D {No,NS/NR,Sí}
@attribute P49ST.A {Democrático,'Ni Demo-Ni No Demo','No Democrático',NS/NR}
@attribute P76ST {Centro,Derecha,Izquierda,NS/NR}
@attribute IDENPA {Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela}
@attribute P1ST {'Bastante satisfecho','Muy satisfecho','No muy satisfecho',NS/NR,'Para nada satisfecho'}
@attribute P3ST.A {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P3ST.B {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P4ST {Igual,'Mucho mejor','Mucho peor',NS/NR,'Un poco mejor','Un poco peor'}
@attribute P10ST {'Está progresando','No está progresando'}
@attribute P15N {Empeorado,Mejorado,NS/NR,'Se ha mantenido igual'}
@attribute P19ST {'Grupos poderosos en su propio beneficio',NS/NR,'Para el bien de todo el pueblo'}
@attribute P28NE {Empeorará,Mejorará,NS/NR,'Seguirá igual'}
@attribute P65ST {'No tiene los medios',NS/NR,'Tiene los medios'}
@attribute P6ST {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P12ST {Injusta,Justa,'Muy injusta','Muy justa',NS/NR}
@attribute P13ST {'A la gente como uno, nos da lo mismo un régimen democrático','En algunas circunstancias, un gobierno autoritario puede ser','La democracia es preferible a cualquier otra forma de gobier',NS/NR}

@data
Bastante,Soltero,Femenino,31,Media,No,Democrático,Derecha,Argentina,'Para nada satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Separado/Divorciado/Viudo,Femenino,67,Media,No,'No Democrático',NS/NR,Argentina,'Para nada satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,60,'Media baja',No,Democrático,Derecha,Argentina,'No muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,'Casado/ Conviviente',Femenino,48,'Media baja',No,Democrático,Izquierda,Argentina,'No muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',NS/NR,'Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,'Casado/ Conviviente',Masculino,33,'Media baja',Sí,Democrático,NS/NR,Argentina,'No muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,NS/NR,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,72,'Media baja',No,Democrático,Centro,Argentina,'Bastante satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,28,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Femenino,29,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,42,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Buena,Buena,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,43,'Media baja',Sí,'Ni Demo-Ni No Demo',Derecha,Argentina,'Bastante satisfecho',Buena,Buena,Igual,'Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,'Casado/ Conviviente',Femenino,24,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Muy satisfecho',Regular,Regular,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,37,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Masculino,21,Media,Sí,Democrático,Izquierda,Argentina,'Muy satisfecho',Regular,Regular,Igual,'Está progresando',Mejorado,'Para el bien de todo el pueblo','Seguirá igual','Tiene los medios',Regular,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,46,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Bastante satisfecho',Mala,Mala,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',NS/NR,NS/NR,Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,44,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Regular,'Un poco peor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,41,Media,Sí,Democrático,Izquierda,Argentina,'Bastante satisfecho',Buena,Regular,'Mucho mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Masculino,45,'Media baja',Sí,Democrático,NS/NR,Argentina,'No muy satisfecho',Buena,Regular,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Femenino,39,Media,Sí,Democrático,Centro,Argentina,'Bastante satisfecho',Buena,Regular,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Femenino,33,'Media baja',Sí,Democrático,Izquierda,Argentina,'Muy satisfecho',Buena,Buena,Igual,'Está progresando',Mejorado,'Para el bien de todo el pueblo','Seguirá igual','Tiene los medios',Buena,NS/NR,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Femenino,27,'Media baja',Sí,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Bastante satisfecho',Regular,Mala,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,Soltero,Masculino,20,'Media baja',No,Democrático,NS/NR,Argentina,'Bastante satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada',Soltero,Masculino,35,Media,Sí,Democrático,Centro,Argentina,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,52,Media,No,'Ni Demo-Ni No Demo',NS/NR,Argentina,'No muy satisfecho',Mala,Mala,'Un poco mejor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,NS/NR,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,Separado/Divorciado/Viudo,Femenino,65,Media,Sí,Democrático,Centro,Argentina,'Muy satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Separado/Divorciado/Viudo,Femenino,39,Media,Sí,Democrático,Izquierda,Argentina,'Bastante satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,32,Media,No,Democrático,NS/NR,Argentina,'No muy satisfecho',Mala,'Muy mala',Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Mala,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,36,NS/NR,No,Democrático,NS/NR,Argentina,'No muy satisfecho',Regular,Mala,'Un poco mejor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Mala,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,'Casado/ Conviviente',Femenino,61,'Media baja',Sí,Democrático,Derecha,Argentina,'Bastante satisfecho',Buena,Regular,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'No tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Masculino,19,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','No tiene los medios',Regular,Justa,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,'Casado/ Conviviente',Masculino,31,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Argentina,'No muy satisfecho',Mala,Mala,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Mala,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Separado/Divorciado/Viudo,Masculino,43,'Media baja',No,'No Democrático',Centro,Argentina,'Bastante satisfecho',Regular,Mala,'Un poco peor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,45,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Buena,Regular,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,36,Baja,No,'Ni Demo-Ni No Demo',Derecha,Argentina,'No muy satisfecho',Regular,Regular,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,26,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Mala,Regular,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,Soltero,Femenino,61,Baja,No,'Ni Demo-Ni No Demo',NS/NR,Argentina,'No muy satisfecho',Mala,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Mala,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,Separado/Divorciado/Viudo,Femenino,54,'Media baja',No,'No Democrático',NS/NR,Argentina,'Para nada satisfecho',Mala,Mala,'Un poco mejor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,54,Baja,No,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Mala,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Masculino,25,'Media baja',Sí,Democrático,Centro,Argentina,'Bastante satisfecho',Regular,Mala,'Mucho mejor','No está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Masculino,42,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Bastante satisfecho',Regular,Regular,'Un poco peor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,Soltero,Masculino,18,'Media alta',Sí,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Bastante satisfecho',Buena,Regular,'Un poco mejor','Está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,58,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Argentina,'No muy satisfecho',Mala,'Muy mala','Mucho peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,Separado/Divorciado/Viudo,Femenino,62,Baja,No,Democrático,NS/NR,Argentina,'No muy satisfecho',Regular,Regular,'Un poco peor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Mala,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Femenino,22,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Mala,Igual,'No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',NS/NR,'Tiene los medios',Buena,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada','Casado/ Conviviente',Femenino,21,Media,Sí,Democrático,NS/NR,Argentina,'No muy satisfecho',Regular,Mala,'Un poco mejor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada',Soltero,Masculino,19,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Argentina,'No muy satisfecho',Regular,Mala,Igual,'Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,34,Media,Sí,Democrático,NS/NR,Argentina,'No muy satisfecho',Mala,'Muy mala','Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,'Casado/ Conviviente',Masculino,58,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Para nada satisfecho','Muy mala','Muy mala',Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,25,'Media alta',Sí,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Bastante satisfecho',Mala,Mala,'Un poco peor','No está progresando',Empeorado,'Para el bien de todo el pueblo','Seguirá igual','Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
NS/NR,'Casado/ Conviviente',Masculino,52,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Femenino,79,'Media baja',No,'Ni Demo-Ni No Demo',Derecha,Argentina,'Para nada satisfecho',Regular,Regular,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,59,'Media baja',Sí,'Ni Demo-Ni No Demo',Derecha,Argentina,'No muy satisfecho',Regular,Regular,Igual,'Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,24,'Media baja',No,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Bastante satisfecho',Mala,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,'Casado/ Conviviente',Femenino,58,'Media baja',Sí,'Ni Demo-Ni No Demo',Derecha,Argentina,'Muy satisfecho',Mala,Mala,Igual,'No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
