"P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",23,"Media baja","No","10 Totalmente democrático","6","7","9","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",54,"Media baja","No","5","9","9","7","Está en retroceso","Mucho peor","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Bolivia"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",46,"Media baja","Sí","5","8","7","8","Está en retroceso","Mucho peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",56,"Media","Sí","5","NS/NR","NS/NR","NS/NR","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",27,"Baja","No","5","NS/NR","7","5","Está progresando","Igual","Bastante","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",24,"Baja","Sí","7","10 Totalmente democrático","9","8","Está estancado","Mucho peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Soltero","Masculino",32,"Media baja","No","5","6","5","NS/NR","Está estancado","Un poco mejor","Poco","Regular","Injusta","NS/NR","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",22,"Media","No","7","10 Totalmente democrático","8","NS/NR","Está estancado","Un poco peor","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",24,"Media alta","No","7","5","5","7","Está progresando","Un poco peor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política no es tan complicada y se entiende","Soltero","Femenino",46,"Baja","NS/NR","9","7","6","8","Está progresando","Un poco mejor","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",48,"Media baja","No","8","8","8","NS/NR","Está estancado","Igual","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",56,"Media baja","Sí","6","3","8","5","Está progresando","Un poco mejor","Nada","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",30,"Baja","No","5","10 Totalmente democrático","7","5","Está progresando","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política es tan complicada que no se entiende","Soltero","Masculino",24,"Media","Sí","3","5","NS/NR","5","NS/NR","Un poco peor","Nada","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política es tan complicada que no se entiende","Soltero","Femenino",79,"Media baja","No","7","5","7","10 Derecha","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",48,"Media","No","4","5","5","5","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",35,"Media baja","Sí","5","7","7","3","Está estancado","Igual","Mucho","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Soltero","Femenino",20,"Media","Sí","5","6","3","5","Está progresando","Un poco peor","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",67,"Media alta","No","8","5","7","10 Derecha","Está estancado","Mucho peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",35,"Media","No","5","NS/NR","NS/NR","3","Está progresando","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",33,"Media","Sí","8","5","6","6","Está progresando","Un poco mejor","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",19,"Media","No","8","9","5","4","Está en retroceso","Igual","Poco","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",42,"Media baja","No","4","6","NS/NR","5","NS/NR","Un poco mejor","Poco","Regular","NS/NR","NS/NR","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",38,"Media","No","6","10 Totalmente democrático","7","NS/NR","Está progresando","Un poco mejor","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",56,"Media baja","No","8","10 Totalmente democrático","6","5","Está en retroceso","Igual","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",55,"Media baja","No","9","5","5","9","Está progresando","Mucho mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Soltero","Masculino",52,"Baja","No","5","5","5","10 Derecha","Está estancado","Igual","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",60,"Media","Sí","4","5","6","7","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",51,"Media","No","8","8","8","9","Está estancado","Igual","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",39,"Media baja","No","7","7","8","6","Está progresando","Un poco mejor","Poco","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",72,"Media","No","10 Totalmente democrático","4","4","4","Está estancado","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",61,"Media","No","7","5","5","8","Está estancado","Igual","Bastante","Mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"La política es tan complicada que no se entiende","Soltero","Masculino",24,"Media","Sí","4","8","8","NS/NR","Está estancado","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política no es tan complicada y se entiende","Soltero","Femenino",41,"Media baja","Sí","7","7","8","4","Está progresando","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",51,"Baja","No","9","6","6","NS/NR","Está estancado","Mucho peor","Mucho","Muy mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",49,"Media","Sí","8","8","8","5","Está progresando","Un poco mejor","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Soltero","Femenino",50,"Baja","No","9","9","8","3","Está progresando","Igual","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",36,"Media","No","6","8","5","6","Está progresando","Igual","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",57,"Media","Sí","5","NS/NR","7","5","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Soltero","Femenino",40,"Media","Sí","8","8","10 Totalmente democrático","10 Derecha","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",72,"Media","Sí","10 Totalmente democrático","01 No es democrático","5","10 Derecha","Está progresando","Mucho mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Soltero","Femenino",65,"Media","Sí","6","7","7","9","Está estancado","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",20,"Baja","No","6","5","5","NS/NR","Está progresando","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Soltero","Femenino",22,"Media baja","Sí","7","6","4","2","Está progresando","Un poco mejor","Nada","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",31,"Baja","No","01 No es democrático","01 No es democrático","01 No es democrático","5","Está estancado","Un poco peor","Bastante","Muy mala","Muy injusta","NS/NR","Brazil"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",36,"Media baja","No","7","10 Totalmente democrático","8","NS/NR","Está estancado","Un poco mejor","Mucho","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",26,"Media","Sí","8","8","8","5","Está progresando","Un poco mejor","Nada","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",73,"Baja","No","10 Totalmente democrático","5","5","2","Está progresando","Igual","Mucho","Buena","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",53,"Baja","No","6","5","NS/NR","NS/NR","Está estancado","Un poco peor","Mucho","Buena","NS/NR","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"La política es tan complicada que no se entiende","Soltero","Masculino",23,"Media baja","Sí","6","7","8","5","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",58,"Media","No","7","7","7","5","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Soltero","Masculino",24,"Media baja","No","9","10 Totalmente democrático","9","4","Está progresando","Un poco mejor","Poco","Mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",35,"Baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","2","NS/NR","Igual","Nada","Mala","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Soltero","Femenino",20,"Media baja","NS/NR","5","6","4","5","Está estancado","Un poco peor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Soltero","Femenino",40,"Media alta","Sí","2","10 Totalmente democrático","5","8","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",42,"Media","No","8","9","8","7","Está progresando","Igual","Mucho","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",69,"Media","No","NS/NR","NS/NR","NS/NR","5","Está progresando","Un poco mejor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",78,"Media baja","Sí","7","7","7","4","Está progresando","Un poco mejor","Bastante","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",27,"Media","No","8","10 Totalmente democrático","10 Totalmente democrático","10 Derecha","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",37,"Baja","Sí","NS/NR","NS/NR","NS/NR","NS/NR","Está en retroceso","Mucho peor","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",53,"Baja","No","6","6","6","5","Está en retroceso","Un poco peor","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",45,"Alta","No","5","6","5","NS/NR","Está progresando","Un poco mejor","Bastante","Regular","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",29,"Media","Sí","8","8","7","1","Está progresando","Igual","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",32,"Media baja","No","NS/NR","NS/NR","NS/NR","3","Está progresando","Un poco mejor","Mucho","Regular","NS/NR","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media","Sí","5","7","6","NS/NR","Está progresando","Un poco mejor","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"La política no es tan complicada y se entiende","NS/NR","Femenino",44,"Media","Sí","6","NS/NR","7","6","Está progresando","Un poco peor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Soltero","Masculino",36,"Media","Sí","6","8","3","5","Está estancado","Igual","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",37,"Media","No","NS/NR","NS/NR","NS/NR","10 Derecha","Está estancado","Mucho peor","Mucho","Regular","Injusta","NS/NR","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",26,"Baja","No","6","8","7","4","Está estancado","Un poco peor","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Soltero","Femenino",31,"Media","Sí","10 Totalmente democrático","6","7","1","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",43,"Baja","No","9","9","9","NS/NR","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",47,"Media baja","No","7","8","7","4","Está estancado","Un poco peor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",54,"Media","No","8","8","8","NS/NR","Está progresando","Igual","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",52,"Media baja","No","2","9","10 Totalmente democrático","10 Derecha","Está en retroceso","Mucho peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",77,"Media baja","Sí","7","NS/NR","5","5","Está en retroceso","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",68,"Media","Sí","7","9","8","10 Derecha","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",40,"NS/NR","No","8","9","9","3","Está progresando","Un poco peor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",76,"Media baja","No","6","6","6","3","Está estancado","Igual","NS/NR","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",32,"Media baja","No","4","6","8","3","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",78,"Baja","No","10 Totalmente democrático","NS/NR","NS/NR","NS/NR","Está en retroceso","Un poco peor","Nada","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",37,"Media baja","No","5","10 Totalmente democrático","10 Totalmente democrático","1","Está progresando","Un poco mejor","Nada","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",72,"Media baja","Sí","6","6","7","NS/NR","NS/NR","Igual","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",40,"Baja","No","3","3","2","1","Está estancado","Un poco mejor","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política no es tan complicada y se entiende","Soltero","Femenino",19,"Media","Sí","4","4","4","4","Está progresando","Igual","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",42,"Baja","No","8","7","7","NS/NR","Está estancado","Igual","Bastante","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",51,"Media","Sí","6","5","7","NS/NR","Está progresando","Un poco peor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",30,"Media","No","4","4","5","4","Está progresando","Un poco peor","Poco","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",71,"Baja","No","8","10 Totalmente democrático","8","6","Está estancado","Igual","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",43,"Media baja","No","10 Totalmente democrático","7","6","2","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Soltero","Femenino",18,"Media baja","Sí","9","NS/NR","8","6","Está progresando","Un poco peor","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",70,"Media","No","5","7","6","4","Está estancado","Un poco peor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",55,"Baja","No","7","6","5","NS/NR","Está progresando","Igual","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",48,"Media","No","8","8","6","NS/NR","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política es tan complicada que no se entiende","Soltero","Femenino",20,"Media","Sí","3","6","5","NS/NR","Está estancado","Un poco peor","Bastante","Muy buena","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",28,"Media","No","9","10 Totalmente democrático","8","9","Está estancado","Mucho peor","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"La política es tan complicada que no se entiende","Soltero","Femenino",30,"Media baja","No","8","9","7","4","Está en retroceso","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Soltero","Femenino",53,"Baja","No","2","2","4","2","Está progresando","Mucho peor","Mucho","Mala","Muy injusta","NS/NR","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",47,"Media","Sí","7","6","6","2","Está progresando","Un poco mejor","Nada","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",68,"Media baja","No","10 Totalmente democrático","NS/NR","10 Totalmente democrático","NS/NR","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",22,"Baja","No","8","6","8","5","Está progresando","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",54,"Media baja","Sí","7","8","7","7","Está estancado","Un poco peor","Bastante","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",46,"Media baja","Sí","5","7","7","NS/NR","Está progresando","Un poco mejor","Nada","Buena","Injusta","NS/NR","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",33,"Baja","No","7","8","7","8","Está progresando","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",32,"Media alta","Sí","2","2","2","4","Está estancado","Un poco mejor","Bastante","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media","Sí","3","4","01 No es democrático","NS/NR","Está progresando","Un poco mejor","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",74,"Media baja","No","01 No es democrático","5","5","NS/NR","Está estancado","Un poco peor","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",26,"Media","No","9","9","9","NS/NR","Está en retroceso","Igual","Mucho","Buena","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",39,"Media baja","No","8","8","9","NS/NR","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",30,"Media","No","4","4","4","4","Está estancado","Igual","Nada","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",68,"Media","No","5","4","4","7","Está estancado","Igual","Poco","Muy buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
